# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
LABEL_E06EEE 0xE06EEE
LABEL_E06EF1 0xE06EF1
LABEL_E06EF4 0xE06EF4
LABEL_E06EF7 0xE06EF7
LABEL_E06EFA 0xE06EFA
LABEL_E06EFD 0xE06EFD
LABEL_E06F00 0xE06F00
LABEL_E06F03 0xE06F03
LABEL_E06F06 0xE06F06
LABEL_E06F09 0xE06F09
LABEL_E06F0C 0xE06F0C
LABEL_E06F0F 0xE06F0F
LABEL_E06F12 0xE06F12
LABEL_E06F15 0xE06F15
LABEL_E06F18 0xE06F18
LABEL_E06F1B 0xE06F1B
LABEL_E06F1E 0xE06F1E
LABEL_E06F21 0xE06F21
LABEL_E06F24 0xE06F24
LABEL_E06F27 0xE06F27
LABEL_E06F2A 0xE06F2A
LABEL_E06F2D 0xE06F2D
SOUND_DATA_FLUTE 0xE06F30
LABEL_E078F2 0xE078F2
SOUND_DATA_SAX_REED 0xE08BB0
SOUND_DATA_MALLET_ORCH_PERC 0xE09150
SOUND_DATA_WORLD_PERC 0xE0ADD0
LABEL_E0AFD0 0xE0AFD0
LABEL_E0AFD3 0xE0AFD3
LABEL_E0AFD6 0xE0AFD6
LABEL_E0AFD9 0xE0AFD9
LABEL_E0AFDC 0xE0AFDC
LABEL_E0AFDF 0xE0AFDF
LABEL_E0AFE2 0xE0AFE2
LABEL_E0AFE5 0xE0AFE5
LABEL_E0AFE8 0xE0AFE8
LABEL_E0AFEB 0xE0AFEB
LABEL_E0AFEE 0xE0AFEE
LABEL_E0AFF1 0xE0AFF1
LABEL_E0AFF4 0xE0AFF4
LABEL_E0AFF7 0xE0AFF7
LABEL_E0AFFA 0xE0AFFA
LABEL_E0AFFD 0xE0AFFD
LABEL_E0B000 0xE0B000
LABEL_E0B003 0xE0B003
LABEL_E0B006 0xE0B006
LABEL_E0B009 0xE0B009
LABEL_E0B00C 0xE0B00C
LABEL_E0B00F 0xE0B00F
LABEL_E0B012 0xE0B012
LABEL_E0B015 0xE0B015
LABEL_E0B018 0xE0B018
LABEL_E0B01B 0xE0B01B
LABEL_E0B01E 0xE0B01E
LABEL_E0B021 0xE0B021
LABEL_E0B024 0xE0B024
LABEL_E0B027 0xE0B027
LABEL_E0B02A 0xE0B02A
LABEL_E0B02D 0xE0B02D
LABEL_E0B030 0xE0B030
LABEL_E0B033 0xE0B033
LABEL_E0B036 0xE0B036
LABEL_E0B039 0xE0B039
LABEL_E0B03C 0xE0B03C
LABEL_E0B03F 0xE0B03F
LABEL_E0B042 0xE0B042
LABEL_E0B045 0xE0B045
LABEL_E0B048 0xE0B048
LABEL_E0B04B 0xE0B04B
LABEL_E0B04E 0xE0B04E
LABEL_E0B051 0xE0B051
LABEL_E0B054 0xE0B054
LABEL_E0B057 0xE0B057
LABEL_E0B05A 0xE0B05A
LABEL_E0B05D 0xE0B05D
LABEL_E0B060 0xE0B060
LABEL_E0B063 0xE0B063
LABEL_E0B066 0xE0B066
LABEL_E0B069 0xE0B069
LABEL_E0B06C 0xE0B06C
LABEL_E0B06F 0xE0B06F
LABEL_E0B072 0xE0B072
LABEL_E0B075 0xE0B075
LABEL_E0B078 0xE0B078
LABEL_E0B07B 0xE0B07B
LABEL_E0B07E 0xE0B07E
LABEL_E0B081 0xE0B081
LABEL_E0B084 0xE0B084
LABEL_E0B087 0xE0B087
LABEL_E0B08A 0xE0B08A
LABEL_E0B08D 0xE0B08D
LABEL_E0B090 0xE0B090
LABEL_E0B093 0xE0B093
LABEL_E0B096 0xE0B096
LABEL_E0B099 0xE0B099
LABEL_E0B09C 0xE0B09C
LABEL_E0B09F 0xE0B09F
LABEL_E0B0A2 0xE0B0A2
LABEL_E0B0A5 0xE0B0A5
LABEL_E0B0A8 0xE0B0A8
LABEL_E0B0AB 0xE0B0AB
LABEL_E0B0AE 0xE0B0AE
LABEL_E0B0B1 0xE0B0B1
LABEL_E0B0B4 0xE0B0B4
LABEL_E0B0B7 0xE0B0B7
LABEL_E0B0BA 0xE0B0BA
LABEL_E0B0BD 0xE0B0BD
LABEL_E0B0C0 0xE0B0C0
LABEL_E0B0C3 0xE0B0C3
LABEL_E0B0C6 0xE0B0C6
LABEL_E0B0C9 0xE0B0C9
LABEL_E0B0CC 0xE0B0CC
LABEL_E0B0CF 0xE0B0CF
LABEL_E0B0D2 0xE0B0D2
LABEL_E0B0D5 0xE0B0D5
LABEL_E0B0D8 0xE0B0D8
LABEL_E0B0DB 0xE0B0DB
LABEL_E0B0DE 0xE0B0DE
LABEL_E0B0E1 0xE0B0E1
LABEL_E0B0E4 0xE0B0E4
LABEL_E0B0E7 0xE0B0E7
LABEL_E0B0EA 0xE0B0EA
